"Brand","Pricing","Photo","Model","Engine","Power","Torque_lb_ft","Gearbox","Drivetrain","Seats","Doors","Weight_lbs","Length","Width","Height","Fuel","Consumption_city","Consumption_highway","Body","Equipment","Dynamics","Off-road capabilities","Safety","Sport character","Price","Punkty_miasto","Punkty_trasa","Punkty_rodzinny","Punkty_uniwersalny","Efficiency","Result"
"Audi",209700,"https://www.ccarprice.com/products/Audi_R8_Coupe_5_2_V10_performance_quattro_2023.jpg","R8 Coupe 5.2 V10 performance quattro 2023","5.2L V10 Gas",602,413,"Automatic","all",2,2,3913,174.4,76.4,48.9,"Unknown",13,18,"Coupe",5.6,10,3.4,4.7,7,0,5,5.6,1.5,5.5,2.5,0
"Audi",222100,"https://www.ccarprice.com/products/Audi_R8_Spyder_5_2_V10_performance_quattro_2023.jpg","R8 Spyder 5.2 V10 performance quattro 2023","5.2L V10 Gas",602,413,"Automatic","all",2,2,3913,174.4,76.4,48.9,"Unknown",13,18,"Convertible",6.2,10,3,4.7,7,0,5,5.6,1.5,5.5,2.5,0
"Audi",52700,"https://www.ccarprice.com/products/Audi_Q4_Sportback_50_e_tron_Prestige_quattro_2023.jpg","Q4 Sportback 50 e-tron Prestige quattro 2023","Electric",295,NA,"Automatic","all",5,4,3329,177,71.5,55.7,"Electric",0,0,"SUV",6.6,2.7,5.6,5.1,3.6,7.4,3.6,1.9,5.6,5.1,0,0
"Audi",74000,"https://www.ccarprice.com/products/Nw_Audi_e-tron_Sportback_2023.jpg","e-tron Sportback 2023","Electric",355,414,"Automatic","all",5,4,5743,193,76.2,65,"Electric",70,0,"SUV",6.6,6.9,5.6,6.3,3.1,6.3,6.5,1.9,6,6.6,5,0
"Audi",84800,"https://www.ccarprice.com/products/Audi_e-tron_S_2023.jpg","e-tron S 2023","Electric",429,596,"Automatic","all",5,4,NA,193,76.2,65.5,"Electric",70,0,"SUV",6.9,7.2,5.6,6.3,3.3,5.8,6.5,1.9,6,6.6,5,0
"Audi",94500,"https://www.ccarprice.com/products/Audi_SQ8_2023.jpg","SQ8 2023","4.0L Twin Turbo V8 Gas",500,568,"Automatic","all",5,4,5280,196.6,78.5,67.2,"Petrol",15,21,"SUV",6.6,8.1,5.6,6.5,4.5,5.3,3.7,7.9,6.3,8.2,2.9,0
"Audi",71800,"https://www.ccarprice.com/products/Audi_Q8_2023.jpg","Q8 2023","3.0-liter Turbo V6 Gas",335,369,"Automatic","all",5,4,4960,196.6,78.5,67.2,"Petrol",18,23,"SUV",6.9,6.7,7,6.5,5.2,6.5,3.9,8.1,6.3,8.4,3.2,0
"Audi",86500,"https://www.ccarprice.com/products/Audi_SQ7_2023.jpg","SQ7 2023","4.0-liter Twin-Turbo V8 Gas",500,568,"Automatic","all",7,4,5291,199.6,77.6,68.5,"Petrol",15,21,"SUV",7.5,8,5.6,7.2,6.7,5.7,3.7,7.9,6.9,8.5,2.9,0
"Audi",50300,"https://www.ccarprice.com/products/Audi_SQ5_Sportback_2023.jpg","SQ5 Sportback 2023","3.0L Turbo V6 Gas",349,369,"Automatic","all",5,4,4321,184.6,74.5,65.5,"Petrol",19,24,"SUV",5.6,7.1,5.6,5.4,5.3,7.5,4.2,8.1,5.9,8.4,3.4,0
"Audi",54920,"https://www.ccarprice.com/products/Audi_SQ5_2023.jpg","SQ5 2023","3.0L Turbo V6 Gas",349,369,"Automatic","all",5,4,4288,184.3,74.5,65.5,"Petrol",19,24,"SUV",6.6,7.2,5.6,6.1,5.4,7.3,4.2,8.1,5.9,8.4,3.4,0
"Audi",49999,"https://www.ccarprice.com/products/Audi_Q4_e-tron_2023.jpg","Q4 e-tron 2023","Electric",NA,NA,"Automatic","all",5,4,NA,NA,NA,NA,"Electric",70,0,"SUV",6.9,0.2,5.6,3.4,2.5,7.6,4.8,1.9,4.2,4.9,5,0
"Audi",36400,"https://www.ccarprice.com/products/Audi_Q3_2023.jpg","Q3 2023","2.0L Turbo Inline-4 Gas",184,221,"Automatic","all",5,4,3902,176.6,72.8,62.9,"Petrol",22,30,"SUV",6.6,4,5.6,5.8,3.7,8.2,4.5,7.8,5.8,8.2,4.1,0
"Audi",41200,"https://www.ccarprice.com/products/Audi_A3_Prestige_40TFSI_FWD_2023.jpg","A3 Prestige 40TFSI FWD 2023","2.0 L",201,221,"Automatic","front",5,4,3329,177,71.5,55.7,"Hybrid",29,38,"Sedan",6.6,4.5,2.2,5.1,2.9,8,5.6,9.3,5.2,9.2,5.2,0
"Chevrolet",17195,"https://www.ccarprice.com/products/Chevrolet_Onix_2023.jpg","Onix 2023","1.0L 3- Cylinder Petrol",123,133,"Automatic","front",5,4,2103,179,69,59,"Petrol",NA,NA,"Sedan",5.9,3.3,3.7,4.9,2.2,9.2,4.2,7.4,5.2,7.7,0,0
"Chevrolet",14200,"https://www.ccarprice.com/products/Chevrolet_Onix_2022.jpg","Onix 2022","1.0L 3- Cylinder Petrol",123,133,"Automatic","front",5,4,2103,179,69,59,"Petrol",NA,NA,"Sedan",5.9,3.3,3.7,4.9,2.2,9.4,4.2,7.4,5.2,7.7,0,0
"Chevrolet",25150,"https://www.ccarprice.com/products/Chevrolet_Trax_LT_AWD_2023.jpg","Trax LT AWD 2023","1.4-liter Turbo Inline-4 Gas",155,177,"Automatic","all",5,4,3292,167.2,69.9,66.3,"Petrol",23,30,"SUV",4.7,3.5,7.1,4,3.5,8.8,4.6,7.6,5.7,8.2,4.2,0
"Chevrolet",46200,"https://www.ccarprice.com/products/Chevrolet_Silverado_HD_2023.jpg","Silverado HD 2023","6.6L V8 Gas 6.6L Turbo V8 Diesel (+$9,890)",401,464,"Automatic","rear",6,4,14500,235.5,81.75,79.94,"Petrol",15,20,"Truck",6.2,5.7,10,7.3,6.1,7.8,1.8,6.8,5.9,6.6,2.8,0
"Chevrolet",72000,"https://www.ccarprice.com/products/Chevrolet_Corvette_Stingray_1LT_Convertible_2023.jpg","Corvette Stingray 1LT Convertible 2023","6.2-liter V8 Gas",490,465,"Automatic","rear",2,2,3467,182.3,76.1,48.6,"Petrol",16,24,"Convertible",5.6,9.7,5.4,5.1,9.8,6.4,5.1,8.6,1.6,7,3.2,0
"Chevrolet",30000,"https://www.ccarprice.com/products/Chevrolet_Equinox_EV_electric_SUV_2024.jpg","Equinox EV electric SUV 2024","Electric",NA,NA,"Automatic","front",NA,NA,NA,NA,NA,NA,"Electric",0,0,"SUV",6.9,0.2,4.1,2.8,1.1,8.6,1.3,1.9,3.1,2.9,0,0
"Chevrolet",86990,"https://www.ccarprice.com/products/Chevrolet_Suburban_High_Country_AWD_2022.jpg","Suburban High Country AWD 2022","6.2L V8 Gas",420,460,"Automatic","all",7,5,NA,225.7,81.1,75.7,"Petrol",14,29,"SUV",5.9,7.2,7.4,6.9,6.9,5.7,3.1,8.3,7.4,8.6,3.5,0
"Chevrolet",34600,"https://www.ccarprice.com/products/Chevrolet_Silverado_1500_2022.jpg","Silverado 1500 2022","2.7L Turbo Inline-4 Gas",310,348,"Automatic","rear",6,4,9200,231.7,81.24,75.6,"Petrol",15,20,"Truck",6.2,5.3,7.5,7,2.9,8.3,2,6.8,5.7,6.6,2.8,0
"Chevrolet",59640,"https://www.ccarprice.com/products/Chevrolet_Suburban_LS_4WD_2022_1.jpg","Suburban LS 4WD 2022","5.3L V8 Gas  3.0L Turbo Diesel (+$995)",355,383,"Automatic","all",8,5,8000,225.7,81.1,75.7,"Petrol",15,19,"SUV",6.9,6.1,7.2,7.2,6.3,7.1,3.2,7.8,7.7,8.5,2.7,0
"Chevrolet",70090,"https://www.ccarprice.com/products/Chevrolet_Silverado_1500_ZR2_Bison_2022.jpg","Silverado 1500 ZR2 Bison 2022","3.0L Turbo Inline-6 Diesel",305,495,"Automatic","all",5,4,8900,232.9,81.2,78.4,"Petrol",14,17,"Truck",6.6,6,8.9,7.8,3.9,6.5,1.9,6.7,5.6,6.4,2.5,0
"Chevrolet",69800,"https://www.ccarprice.com/products/Chevrolet_Silverado_1500_ZR2_Bison_2023.jpg","Silverado 1500 ZR2 Bison 2023","3.0L Turbo Inline-6 Diesel",305,495,"Automatic","all",5,4,8900,232.75,81.24,78.66,"Unknown",NA,NA,"Truck",6.6,6,6.4,7.8,2.6,6.6,1.2,0.3,5.6,3.3,0,0
"Chevrolet",43500,"https://www.ccarprice.com/products/Chevrolet_Express_Passenger_Van_3500_LT_2023.jpg","Express Passenger Van 3500 LT 2023","4.3L V6 Gas",276,298,"Automatic","rear",12,4,NA,223.95,79.25,84.75,"Unknown",NA,NA,"Van",6.6,5.1,5.6,8,3.8,7.9,1.5,2.2,9.9,6.2,0,0
"Chevrolet",58200,"https://www.ccarprice.com/products/Chevrolet_Suburban_LS_4WD_2023.jpg","Suburban LS 4WD 2023","5.3L V8 Gas  3.0L Turbo Diesel (+$995)",355,383,"Automatic","all",8,5,8000,225.7,81.1,75.7,"Petrol",15,19,"SUV",6.9,6.1,5.6,7.2,6.3,7.1,3.2,7.8,7.7,8.5,2.7,0
"Chevrolet",42300,"https://www.ccarprice.com/products/Chevrolet_Express_Passenger_Van_2500_LT_2023.jpg","Express Passenger Van 2500 LT 2023","4.3L V6 Gas",276,298,"Automatic","rear",12,5,9600,223.9,79.2,84.5,"Petrol",12,16,"Van",4.4,4.4,7.6,6.1,4.8,7.9,2.1,8.5,9.9,9.3,2.2,0
"Chevrolet",76100,"https://www.ccarprice.com/products/Chevrolet_Tahoe_High_Country_4WD_2023.jpg","Tahoe High Country 4WD 2023","6.2L V8 Gas",420,460,"Automatic","all",7,5,8100,210.7,81,75.8,"Petrol",14,19,"SUV",6.9,6.6,5.6,6.6,6.6,6.2,3.3,7.8,7.3,8.4,2.6,0
"Chevrolet",72000,"https://www.ccarprice.com/products/Chevrolet_Suburban_Premier_4WD_2023.jpg","Suburban Premier 4WD 2023","5.3L V8 Gas  3.0L Turbo Diesel (+$995)  6.2L Turbo V8 (+$2,495)",355,383,"Automatic","all",7,5,NA,225.7,81.1,75.7,"Petrol",15,19,"SUV",7.5,6.7,5.6,7.2,6.5,6.4,3.2,7.8,7.4,8.4,2.7,0
"Chevrolet",126150,"https://www.ccarprice.com/products/Chevrolet_Corvette_Z06_Convertible_Z06_3LZ_Convertible_2023.jpg","Z06 3LZ Convertible 2023","5.5L V8 Gas",670,460,"Automatic","rear",2,2,3599,184.58,79.71,48.6,"Unknown",NA,NA,"Convertible",4.7,10,5.4,4.5,7.4,3.7,4.2,1.9,1.6,3.6,0,0
"Chevrolet",121500,"https://www.ccarprice.com/products/Chevrolet_Corvette_Z06_Convertible_Z06_2LZ_Convertible_2023.jpg","Z06 2LZ Convertible 2023","5.5L V8 Gas",670,460,"Automatic","rear",2,2,3599,184.58,79.71,48.6,"Unknown",NA,NA,"Convertible",4.7,10,5.4,4.5,7.4,4,4.2,1.9,1.6,3.6,0,0
"Chevrolet",42300,"https://www.ccarprice.com/products/Chevrolet_Express_Passenger_Van_2023.jpg","Express Passenger Van 2500 LS 2023","4.3L V6 Gas 2.8L Turbo Inline-4 Diesel (+$3,995) 6.6L V8 Gas (+$1,695)",276,298,"Automatic","rear",12,5,9600,223.9,79.2,84.5,"Petrol",12,16,"Van",5,4.4,7.6,7.2,4.8,7.9,2.1,8.5,9.9,9.3,2.2,0
"Chevrolet",38100,"https://www.ccarprice.com/products/Chevrolet_Express_Cargo_Van_2023_Price.jpg","Express Cargo Van 2500 2023","4.3L V6 Gas",276,298,"Automatic","rear",12,5,NA,224.05,79.25,84.75,"Petrol",NA,NA,"Van",4.7,5.1,5.6,7.2,3.8,8.2,1.5,5,9.9,7.5,0,0
"Chevrolet",25300,"https://www.ccarprice.com/products/Chevrolet_Trax_2023.jpg","Trax LS 2023","1.4-liter Turbo Inline-4 Gas",155,177,"Automatic","all",5,4,3267,167.2,69.9,65.2,"Petrol",23,30,"SUV",4.7,3.6,7.1,4,3.6,8.8,4.6,7.6,5.7,8.2,4.2,0
